learning_rate/pg1,learning_rate/pg2,step,train_mention_loss,train_coref_loss,train_entity_loss,train_rel_loss,train_loss,epoch,valid_f1,mention_prec_micro,mention_rec_micro,mention_f1_micro,mention_prec_macro,mention_rec_macro,mention_f1_macro,coref_prec_micro,coref_rec_micro,coref_f1_micro,coref_prec_macro,coref_rec_macro,coref_f1_macro,entity_prec_micro,entity_rec_micro,entity_f1_micro,entity_prec_macro,entity_rec_macro,entity_f1_macro,rel_prec_micro,rel_rec_micro,rel_f1_micro,rel_prec_macro,rel_rec_macro,rel_f1_macro,rel_nec_prec_micro,rel_nec_rec_micro,rel_nec_f1_micro,rel_nec_prec_macro,rel_nec_rec_macro,rel_nec_f1_macro
1.2161824324324325e-05,1.2161824324324325e-05,35999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,35999,0.00025444969651289284,0.0,2.7417587261879817e-05,0.0,0.0002613040851429105,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2499662162162162e-05,1.2499662162162162e-05,36999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,36999,0.021200021728873253,0.0,2.729845255089458e-05,0.0,0.021206846460700035,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,36999,,,,,,24,56.65236051502146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.28375e-05,1.28375e-05,37999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,37999,0.014127891510725021,0.0,6.973698873480316e-06,0.0,0.014129634946584702,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,38479,,,,,,25,57.42574257425742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3175337837837839e-05,1.3175337837837839e-05,38999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,38999,0.00014381895016413182,0.0,1.6093240446934942e-06,1.1920927533992653e-07,0.0001443404908059165,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,39959,,,,,,26,62.278481012658226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3513175675675676e-05,1.3513175675675676e-05,39999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
